 年,月,日,时,降雨量,H,流量,HDam1,Dam1in,Dam1out,HDam2,Dam2in,Dam2out
 1995  ,    5  ,   11  ,    1  ,          2.045  ,          0.293  ,         201.372  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,    2  ,          0.469  ,          0.294  ,         201.737  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,    3  ,          1.079  ,          0.295  ,         202.821  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,    4  ,          1.700  ,          0.298  ,         204.615  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,    5  ,          1.938  ,          0.302  ,         207.020  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,    6  ,          0.795  ,          0.307  ,         210.444  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,    7  ,          1.612  ,          0.311  ,         213.645  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,    8  ,          1.832  ,          0.319  ,         218.915  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,    9  ,         10.885  ,          0.340  ,         233.422  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   10  ,         42.082  ,          0.425  ,         291.981  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   11  ,          2.305  ,          0.476  ,         327.121  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   12  ,          0.423  ,          0.595  ,         408.197  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   13  ,          0.469  ,          0.865  ,         593.695  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   14  ,          3.878  ,          0.966  ,         663.238  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   15  ,          0.026  ,          1.559  ,        1069.993  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   16  ,          0.501  ,          2.275  ,        1561.570  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   17  ,          0.218  ,          2.144  ,        1472.013  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   18  ,          0.218  ,          2.245  ,        1541.456  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   19  ,          0.664  ,          2.619  ,        1797.893  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   20  ,          0.333  ,          2.779  ,        1907.681  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   21  ,          0.566  ,          2.708  ,        1858.921  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   22  ,          0.423  ,          2.618  ,        1797.532  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   23  ,          0.371  ,          2.552  ,        1751.990  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   11  ,   24  ,          0.160  ,          2.466  ,        1692.758  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    1  ,          0.000  ,          2.355  ,        1616.592  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    2  ,          0.000  ,          2.250  ,        1544.736  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    3  ,          0.000  ,          2.150  ,        1476.197  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    4  ,          0.000  ,          2.053  ,        1409.470  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    5  ,          0.000  ,          1.958  ,        1344.144  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    6  ,          0.000  ,          1.866  ,        1281.177  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    7  ,          0.000  ,          1.777  ,        1220.078  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    8  ,          0.000  ,          1.694  ,        1163.243  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,    9  ,          0.000  ,          1.616  ,        1109.598  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   10  ,          0.000  ,          1.542  ,        1058.562  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   11  ,          0.000  ,          1.468  ,        1007.564  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   12  ,          0.000  ,          1.396  ,         958.172  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   13  ,          0.000  ,          1.328  ,         911.404  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   14  ,          0.000  ,          1.264  ,         867.853  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   15  ,          0.000  ,          1.204  ,         826.404  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   16  ,          0.000  ,          1.147  ,         787.539  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   17  ,          0.000  ,          1.094  ,         751.163  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   18  ,          0.000  ,          1.045  ,         717.092  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   19  ,          0.000  ,          0.998  ,         685.225  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   20  ,          0.000  ,          0.955  ,         655.641  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   21  ,          0.000  ,          0.915  ,         627.906  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   22  ,          0.000  ,          0.876  ,         601.082  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   23  ,          0.000  ,          0.839  ,         575.860  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   12  ,   24  ,          0.000  ,          0.804  ,         551.967  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    1  ,          0.000  ,          0.771  ,         529.231  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    2  ,          0.000  ,          0.740  ,         507.714  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    3  ,          0.000  ,          0.710  ,         487.308  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    4  ,          0.000  ,          0.684  ,         469.425  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    5  ,          0.000  ,          0.657  ,         451.237  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    6  ,          0.000  ,          0.632  ,         434.135  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    7  ,          0.000  ,          0.609  ,         418.165  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    8  ,          0.000  ,          0.587  ,         403.110  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,    9  ,          0.000  ,          0.567  ,         389.191  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   10  ,          0.000  ,          0.548  ,         376.306  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   11  ,          0.000  ,          0.530  ,         364.184  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   12  ,          0.000  ,          0.514  ,         352.844  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   13  ,          0.000  ,          0.498  ,         342.116  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   14  ,          0.000  ,          0.484  ,         332.017  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   15  ,          0.000  ,          0.470  ,         322.408  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   16  ,          0.000  ,          0.456  ,         313.283  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   17  ,          0.000  ,          0.444  ,         304.558  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   18  ,          0.000  ,          0.431  ,         296.186  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   19  ,          0.000  ,          0.419  ,         287.883  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   20  ,          0.000  ,          0.408  ,         279.880  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   21  ,          0.000  ,          0.397  ,         272.238  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   22  ,          0.000  ,          0.386  ,         264.888  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   23  ,          0.000  ,          0.376  ,         257.808  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   13  ,   24  ,          0.000  ,          0.366  ,         251.058  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    1  ,          0.000  ,          0.356  ,         244.588  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    2  ,          0.000  ,          0.347  ,         238.352  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    3  ,          0.000  ,          0.338  ,         232.331  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    4  ,          0.000  ,          0.330  ,         226.549  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    5  ,          0.000  ,          0.322  ,         220.978  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    6  ,          0.000  ,          0.314  ,         215.574  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    7  ,          0.000  ,          0.306  ,         210.371  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    8  ,          0.000  ,          0.299  ,         205.356  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,    9  ,          0.000  ,          0.292  ,         200.604  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   10  ,          0.000  ,          0.286  ,         196.093  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   11  ,          0.000  ,          0.279  ,         191.706  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   12  ,          0.000  ,          0.273  ,         187.577  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   13  ,          0.000  ,          0.267  ,         183.517  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   14  ,          0.000  ,          0.262  ,         179.643  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   15  ,          0.000  ,          0.256  ,         175.930  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   16  ,          0.000  ,          0.251  ,         172.395  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   17  ,          0.000  ,          0.246  ,         168.990  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   18  ,          0.000  ,          0.241  ,         165.684  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   19  ,          0.000  ,          0.237  ,         162.526  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   20  ,          0.000  ,          0.232  ,         159.405  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   21  ,          0.000  ,          0.228  ,         156.370  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   22  ,          0.000  ,          0.223  ,         153.372  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   23  ,          0.000  ,          0.219  ,         150.421  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   14  ,   24  ,          0.000  ,          0.215  ,         147.525  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    1  ,          0.000  ,          0.211  ,         144.672  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    2  ,          0.000  ,          0.207  ,         141.884  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    3  ,          0.000  ,          0.203  ,         139.141  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    4  ,          0.000  ,          0.199  ,         136.448  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    5  ,          0.000  ,          0.195  ,         133.835  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    6  ,          0.000  ,          0.191  ,         131.272  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    7  ,          0.000  ,          0.188  ,         128.813  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    8  ,          0.000  ,          0.184  ,         126.453  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,    9  ,          0.000  ,          0.181  ,         124.128  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   10  ,          0.000  ,          0.178  ,         121.877  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   11  ,          0.000  ,          0.174  ,         119.684  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   12  ,          0.000  ,          0.171  ,         117.594  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   13  ,          0.000  ,          0.168  ,         115.574  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   14  ,          0.000  ,          0.166  ,         113.653  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   15  ,          0.000  ,          0.163  ,         111.808  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   16  ,          0.000  ,          0.160  ,         109.993  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   17  ,          0.000  ,          0.158  ,         108.228  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   18  ,          0.000  ,          0.155  ,         106.579  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   19  ,          0.000  ,          0.153  ,         104.948  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   20  ,          0.000  ,          0.151  ,         103.369  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   21  ,          0.000  ,          0.148  ,         101.805  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   22  ,          0.000  ,          0.146  ,         100.403  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   23  ,          0.000  ,          0.144  ,          98.989  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   15  ,   24  ,          0.000  ,          0.142  ,          97.564  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   16  ,    1  ,          0.000  ,          0.140  ,          96.148  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   16  ,    2  ,          0.000  ,          0.138  ,          94.754  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   16  ,    3  ,          0.000  ,          0.136  ,          93.386  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
 1995  ,    5  ,   16  ,    4  ,          0.000  ,          0.134  ,          92.052  ,  -107374176.000  ,           0.000  ,           0.000  ,  -107374176.000  ,           0.000  ,           0.000
